status	root	code	url
200	BREZZA	AENLBA0C	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/BREZZA/xml/AENLBA0C/index.html
200	IGNIS	AENLJA0A	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/IGNIS/xml/AENLJA0A/index.html
200	SWIFT_A2L310_A2L412_A2L414	AENKSB0A	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L412_A2L414/xml/AENKSB0A/index.html
200	SWIFT_A2L310_A2L412_A2L414	AENLSB0A	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L412_A2L414/xml/AENLSB0A/index.html
200	SWIFT_A2L310_A2L412_A2L414	AENLSB0C	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L412_A2L414/xml/AENLSB0C/index.html
200	SX4	ADU8RW0A	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SX4/xml/ADU8RW0A/index.html
200	SX4	AEN6RW0E	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SX4/xml/AEN6RW0E/index.html
200	SX4	AEN6RW0H	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SX4/xml/AEN6RW0H/index.html
200	SX4	AEN7RW0A	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SX4/xml/AEN7RW0A/index.html
200	SX4	AEN7RW0B	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SX4/xml/AEN7RW0B/index.html
200	SX4	AEN7RW0C	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SX4/xml/AEN7RW0C/index.html
200	SX4	AEN8RW0A	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SX4/xml/AEN8RW0A/index.html
200	SX4	AFR7RW0A	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SX4/xml/AFR7RW0A/index.html
200	SX4	AFR8RW0A	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SX4/xml/AFR8RW0A/index.html
200	SX4	AGE7RW0A	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SX4/xml/AGE7RW0A/index.html
200	SX4	AGE8RW0A	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SX4/xml/AGE8RW0A/index.html
200	SX4	AGK8RW0A	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SX4/xml/AGK8RW0A/index.html
200	SX4	AHR8RW0A	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SX4/xml/AHR8RW0A/index.html
