folder	root_url	status
DZIRE	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/DZIRE/	403
IGNIS	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/IGNIS/	403
JIMNY	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/JIMNY/	403
ALTO_A_STAR_CELERIO_800_FRONTE_CULTUS	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO_A_STAR_CELERIO_800_FRONTE_CULTUS/	404
BALENO_ESTEEM	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/BALENO_ESTEEM/	404
FORSA_SPRINT_SWIFT_SA	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/FORSA_SPRINT_SWIFT_SA/	404
GRAND_VITARA	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/GRAND_VITARA/	404
GRAND_VITARA_XL_7	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/GRAND_VITARA_XL_7/	404
MARUTI_SWIFT	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/MARUTI_SWIFT/	404
SWIFT	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT/	404
SWIFT_DZIRE	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_DZIRE/	404
SX4_S_CROSS	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SX4_S_CROSS/	404
VITARA_SIDEKICK	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/VITARA_SIDEKICK/	404
