url	status	checked_utc
https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENABA1B/index.html	404	2026-06-27T03:19:40.116439+00:00
https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENABA1C/index.html	404	2026-06-27T03:19:40.116439+00:00
https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENABA2A/index.html	404	2026-06-27T03:19:40.116439+00:00
https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENABA2B/index.html	404	2026-06-27T03:19:40.116439+00:00
https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENABA2C/index.html	404	2026-06-27T03:19:40.116439+00:00
https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENABB0A/index.html	404	2026-06-27T03:19:40.116439+00:00
https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENABB0B/index.html	404	2026-06-27T03:19:40.116439+00:00
https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENABB0C/index.html	404	2026-06-27T03:19:40.116439+00:00
https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENABB1A/index.html	404	2026-06-27T03:19:40.116439+00:00
https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENABB1B/index.html	404	2026-06-27T03:19:40.116439+00:00
https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENABB1C/index.html	404	2026-06-27T03:19:40.116439+00:00
https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENABB2A/index.html	404	2026-06-27T03:19:40.116439+00:00
https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENABB2B/index.html	404	2026-06-27T03:19:40.116439+00:00
https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENABB2C/index.html	404	2026-06-27T03:19:40.116439+00:00
https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENACA0A/index.html	404	2026-06-27T03:19:40.116439+00:00
https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENACA0B/index.html	404	2026-06-27T03:19:40.116439+00:00
https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENACA0C/index.html	404	2026-06-27T03:19:40.116439+00:00
https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENACA1A/index.html	404	2026-06-27T03:19:40.116439+00:00
https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENACA1B/index.html	404	2026-06-27T03:19:40.116439+00:00
https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENACA1C/index.html	404	2026-06-27T03:19:40.116439+00:00
https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENACA2A/index.html	404	2026-06-27T03:19:40.116439+00:00
https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENACA2B/index.html	404	2026-06-27T03:19:40.116439+00:00
https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENACA2C/index.html	404	2026-06-27T03:19:40.116439+00:00
https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENACB0A/index.html	404	2026-06-27T03:19:40.116439+00:00
https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENACB0B/index.html	404	2026-06-27T03:19:40.116439+00:00
https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENACB0C/index.html	404	2026-06-27T03:19:40.116439+00:00
https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENACB1A/index.html	404	2026-06-27T03:19:40.116439+00:00
