host	path	status	url
dcs.suzuki.it	/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L412_A2L414/xml/AENLSB0A/index.html	ERR	https://dcs.suzuki.it/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L412_A2L414/xml/AENLSB0A/index.html
dcs.suzuki.it	/Upload/Downloads/Service/ServiceManuals/IGNIS/xml/AENLJA0A/index.html	ERR	https://dcs.suzuki.it/Upload/Downloads/Service/ServiceManuals/IGNIS/xml/AENLJA0A/index.html
dcs.suzuki.it	/Upload/Downloads/Service/ServiceManuals/BREZZA/xml/AENLBA0C/index.html	ERR	https://dcs.suzuki.it/Upload/Downloads/Service/ServiceManuals/BREZZA/xml/AENLBA0C/index.html
dcs.suzuki.co.jp	/	ERR	https://dcs.suzuki.co.jp/
dcs.suzuki.co.jp	/robots.txt	ERR	https://dcs.suzuki.co.jp/robots.txt
dcs.suzuki.co.jp	/Upload/Downloads/Service/ServiceManuals/	ERR	https://dcs.suzuki.co.jp/Upload/Downloads/Service/ServiceManuals/
dcs.suzuki.co.jp	/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L412_A2L414/xml/AENLSB0A/index.html	ERR	https://dcs.suzuki.co.jp/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L412_A2L414/xml/AENLSB0A/index.html
dcs.suzuki.co.jp	/Upload/Downloads/Service/ServiceManuals/IGNIS/xml/AENLJA0A/index.html	ERR	https://dcs.suzuki.co.jp/Upload/Downloads/Service/ServiceManuals/IGNIS/xml/AENLJA0A/index.html
dcs.suzuki.co.jp	/Upload/Downloads/Service/ServiceManuals/BREZZA/xml/AENLBA0C/index.html	ERR	https://dcs.suzuki.co.jp/Upload/Downloads/Service/ServiceManuals/BREZZA/xml/AENLBA0C/index.html
dcs.suzuki.com.au	/	ERR	https://dcs.suzuki.com.au/
dcs.suzuki.com.au	/robots.txt	ERR	https://dcs.suzuki.com.au/robots.txt
dcs.suzuki.com.au	/Upload/Downloads/Service/ServiceManuals/	ERR	https://dcs.suzuki.com.au/Upload/Downloads/Service/ServiceManuals/
dcs.suzuki.com.au	/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L412_A2L414/xml/AENLSB0A/index.html	ERR	https://dcs.suzuki.com.au/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L412_A2L414/xml/AENLSB0A/index.html
dcs.suzuki.com.au	/Upload/Downloads/Service/ServiceManuals/IGNIS/xml/AENLJA0A/index.html	ERR	https://dcs.suzuki.com.au/Upload/Downloads/Service/ServiceManuals/IGNIS/xml/AENLJA0A/index.html
dcs.suzuki.com.au	/Upload/Downloads/Service/ServiceManuals/BREZZA/xml/AENLBA0C/index.html	ERR	https://dcs.suzuki.com.au/Upload/Downloads/Service/ServiceManuals/BREZZA/xml/AENLBA0C/index.html
dcs.suzuki.co.in	/	ERR	https://dcs.suzuki.co.in/
dcs.suzuki.co.in	/robots.txt	ERR	https://dcs.suzuki.co.in/robots.txt
dcs.suzuki.co.in	/Upload/Downloads/Service/ServiceManuals/	ERR	https://dcs.suzuki.co.in/Upload/Downloads/Service/ServiceManuals/
dcs.suzuki.co.in	/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L412_A2L414/xml/AENLSB0A/index.html	ERR	https://dcs.suzuki.co.in/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L412_A2L414/xml/AENLSB0A/index.html
dcs.suzuki.co.in	/Upload/Downloads/Service/ServiceManuals/IGNIS/xml/AENLJA0A/index.html	ERR	https://dcs.suzuki.co.in/Upload/Downloads/Service/ServiceManuals/IGNIS/xml/AENLJA0A/index.html
dcs.suzuki.co.in	/Upload/Downloads/Service/ServiceManuals/BREZZA/xml/AENLBA0C/index.html	ERR	https://dcs.suzuki.co.in/Upload/Downloads/Service/ServiceManuals/BREZZA/xml/AENLBA0C/index.html
dcs.suzuki.hu	/	200	https://dcs.suzuki.hu/
dcs.suzuki.hu	/robots.txt	404	https://dcs.suzuki.hu/robots.txt
dcs.suzuki.hu	/Upload/Downloads/Service/ServiceManuals/	404	https://dcs.suzuki.hu/Upload/Downloads/Service/ServiceManuals/
dcs.suzuki.hu	/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L412_A2L414/xml/AENLSB0A/index.html	404	https://dcs.suzuki.hu/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L412_A2L414/xml/AENLSB0A/index.html
dcs.suzuki.hu	/Upload/Downloads/Service/ServiceManuals/IGNIS/xml/AENLJA0A/index.html	404	https://dcs.suzuki.hu/Upload/Downloads/Service/ServiceManuals/IGNIS/xml/AENLJA0A/index.html
