root	status	url
IGNIS_ATM412	403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/IGNIS_ATM412/
AOL	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/AOL/
ATM412	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ATM412/
IGNIS-ATM412	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/IGNIS-ATM412/
SWIFT-AOL	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT-AOL/
SWIFT_AOL	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_AOL/
